,end_date_volume,vw_x,end_date_open_price,end_date_close_price,end_date_high_price,end_date_low_price,t_x,n_x,ticker,start_date_volume,vw_y,start_date_open_price,start_date_close_price,start_date_high_price,start_date_low_proce,t_y,n_y
1091,1111444.0,94.5605,94.1326,94.42,95.83,93.82,1610082000000,14865,EXPD,1310184.0,92.7833,95.37,92.31,95.9,91.68,1609736400000,17903
1092,1484210.0,143.5509,143.4,144.02,144.75,141.05,1610082000000,22948,EXPE,3472433.0,131.6493,134.57,131.37,135.87,128.31,1609736400000,44447
1093,3051698.0,36.1792,34.395,37.18,37.68,33.71,1610082000000,17130,EXPI,1698228.0,30.7837,31.5935,30.695,31.915,30.055,1609736400000,12667
1094,2604423.0,0.9977,1.01,1.04,1.04,0.9601,1610082000000,4637,EXPR,1885828.0,4.1562,4.05,4.15,4.31,4.01,1580706000000,10796
1095,736745.0,111.5225,109.35,112.05,112.22,109.27,1610082000000,11133,EXR,779198.0,111.1556,115.73,110.29,116.145,110.2,1609736400000,13165
1096,191973.0,4.638,4.67,4.71,4.73,4.52,1610082000000,2127,EXTN,130325.0,4.3647,4.51,4.36,4.56,4.22,1609736400000,1288
1097,707464.0,7.5637,7.54,7.55,7.7,7.47,1610082000000,6181,EXTR,839430.0,4.1874,4.37,4.135,4.41,4.13,1593576000000,4456
1098,324462.0,10.0425,10.43,10.35,10.59,9.5801,1610082000000,3144,EYPT,1314861.0,8.206,6.9,9.01,9.3615,6.87,1609736400000,7108
1099,905523.0,4.9016,5.05,4.92,5.0522,4.7946,1610082000000,4250,EZPW,222692.0,5.0117,5.04,5.01,5.17,4.97,1601524800000,3827
1100,60237033.0,8.9914,9.1,9.0,9.14,8.89,1610082000000,106980,F,85725025.0,8.5466,8.81,8.52,8.84,8.43,1609736400000,149621
1101,641881.0,53.2003,53.44,53.23,53.83,52.49,1610082000000,7355,FAF,482077.0,51.2282,51.71,51.16,51.87,50.875,1609736400000,7462
1102,2749369.0,56.847,57.21,56.76,58.4,55.63,1610082000000,36267,FANG,2820922.0,48.9672,49.0,48.94,50.09,47.56,1609736400000,31305
1103,196333.0,4.9157,5.08,4.86,5.12,4.76,1610082000000,1214,FARM,100392.0,7.1983,7.32,7.23,7.48,7.0201,1593576000000,797
1104,114052.0,76.4936,76.97,77.01,77.25,75.13,1610082000000,1951,FARO,120928.0,68.9383,70.91,68.33,71.89,67.1,1609736400000,2420
1105,3777281.0,50.481,49.58,50.75,50.91,49.58,1610082000000,32195,FAST,3576070.0,47.8135,49.03,47.65,49.36,47.19,1609736400000,38191
1106,19422.0,6.1568,6.19,6.12,6.2178,6.04,1610082000000,180,FAT,192849.0,6.4363,6.4,6.4,6.632,6.09,1609131600000,1183
1107,2031427.0,116.5364,116.48,116.31,118.7899,114.18,1610082000000,21080,FATE,1061269.0,90.363,91.54,89.68,93.2,88.58,1609736400000,12384
