,0
1282,0001455365
1283,0001838293
1284,0001424958
1285,0001299969
1286,0000726854
1287,0001631569
1288,0000313927
1289,0000020212
1290,0000019584
1291,0001517175
1292,0001610590
1293,0001364954
1294,0001046311
1295,0001171471
1296,0000895126
1297,0001015922
1298,0000763563
1299,0001571776
1300,0000845379
1301,0001756497
1302,0000793628
1303,0001785041
1304,0001777393
1305,0001730346
1306,0001512762
1307,0001043277
1308,0000897429
1309,0001132924
1310,0001091667
1311,0001524931
1312,0001396277
1313,0001842356
1314,0001766502
1315,0001723089
1316,0001222719
1317,0001739940
1318,0000024090
1319,0001867752
1320,0001071371
1321,0001173204
1322,0000936395
1323,0000833021
1324,0001819989
1325,0001157557
1326,0000913353
1327,0001749797
1328,0001278895
1329,0001841338
1330,0000810766
1331,0001409493
1332,0001868734
1333,0000020286
1334,0001862150
1335,0001868995
1336,0001593222
1337,0001534254
1338,0001091883
1339,0001777319
1340,0001848437
1341,0000944745
1342,0001509589
1343,0001049606
1344,0001829948
1345,0001075706
1346,0001856084
1347,0001651407
1348,0000352955
1349,0000021665
1350,0001837739
1351,0001849820
1352,0000913277
1353,0001826855
1354,0001855467
1355,0001000229
1356,0001723596
1357,0001847064
1358,0000320017
1359,0001854587
1360,0001476045
1361,0000744218
1362,0001775085
1363,0000764065
1364,0000796505
1365,0001631487
1366,0000822818
1367,0001835713
1368,0001883984
1369,0001434524
1370,0001627281
1371,0000814083
1372,0001340122
1373,0001368265
1374,0001822791
1375,0001415995
1376,0001849058
1377,0001801170
1378,0001649096
1379,0001724542
1380,0001285550
1381,0000732834
1382,0001279704
1383,0001831937
1384,0000840715
1385,0001030894
1386,0001539029
1387,0000827876
1388,0000749647
1389,0001849867
1390,0001819615
1391,0001466301
1392,0001764046
1393,0001441236
1394,0001026662
1395,0000021076
1396,0001705843
1397,0001045520
1398,0000028412
1399,0001813914
1400,0001738177
1401,0000022444
1402,0001865248
1403,0000766011
1404,0001597835
1405,0001005229
1406,0000908311
1407,0001156375
1408,0001058090
1409,0000026172
1410,0001058623
1411,0001534248
1412,0001227654
1413,0001651431
1414,0001823144
1415,0001262976
1416,0001816590
1417,0001738021
1418,0001503584
1419,0001117480
1420,0000811156
1421,0001026655
1422,0001666291
1423,0000023197
1424,0000809844
1425,0000021175
1426,0001071739
1427,0001367920
1428,0001824301
1429,0001851959
1430,0001851961
1431,0001677703
1432,0001376321
1433,0001780785
1434,0001733868
1435,0001502292
1436,0001867443
1437,0001567094
1438,0000016868
1439,0001385280
1440,0001856525
1441,0000816956
1442,0001787005
1443,0001704720
1444,0001224608
